id,title,url,tags,type,summary,data
uni-university-of-arizona-controlled-environment-agriculture-center-ceac,University of Arizona – Controlled Environment Agriculture Center (CEAC),https://ceac.arizona.edu/,"[""university"",""cea"",""hydroponics"",""arizona""]",universities,"Multidisciplinary CEA research, education, and extension; hydroponics, climate control, and space-farming prototypes.","{""city"":""Tucson"",""state"":""AZ"",""country"":""USA"",""programName"":""Controlled Environment Agriculture Center"",""urls"":{""site"":""https://ceac.arizona.edu/""}}"
uni-cornell-university-cea-greenhouse-horticulture,Cornell University – CEA & Greenhouse Horticulture,https://cea.cals.cornell.edu/,"[""university"",""cea"",""extension"",""lighting"",""new-york""]",universities,CEA concentration and statewide extension; energy-efficient greenhouses and LED lighting (GLASE co-lead).,"{""city"":""Ithaca"",""state"":""NY"",""country"":""USA"",""programName"":""CEA & Greenhouse Horticulture (CALS)"",""urls"":{""site"":""https://cea.cals.cornell.edu/"",""extension"":""https://cals.cornell.edu/school-integrative-plant-science/school-sections/horticulture-section/outreach-and-extension-horticulture""}}"
uni-michigan-state-university-floriculture-cea-research,Michigan State University – Floriculture & CEA Research,https://www.canr.msu.edu/news/controlled-environment-agriculture-research-sees-innovation-through-project-greeen,"[""university"",""floriculture"",""lighting"",""michigan""]",universities,Leader in greenhouse floriculture research and extension; lighting/environment interactions and multi-state OptimIA work.,"{""city"":""East Lansing"",""state"":""MI"",""country"":""USA"",""programName"":""Controlled-Environment Lighting Lab; OptimIA projects"",""urls"":{""site"":""https://www.canr.msu.edu/news/controlled-environment-agriculture-research-sees-innovation-through-project-greeen""}}"
uni-ohio-state-university-controlled-environment-agriculture-research-complex-cearc,Ohio State University – Controlled Environment Agriculture Research Complex (CEARC),https://ohceac.osu.edu/,"[""university"",""cea"",""ohio""]",universities,New flagship facility advancing CEA science and public education; leafy greens and vine crop cultivation research.,"{""city"":""Columbus"",""state"":""OH"",""country"":""USA"",""programName"":""Controlled Environment Agriculture Research Complex"",""urls"":{""site"":""https://ohceac.osu.edu/"",""extension"":""https://ohceac.osu.edu/resources""}}"
uni-university-of-kentucky-controlled-environment-horticulture,University of Kentucky – Controlled-Environment Horticulture (CEH),https://greenhousehort.ca.uky.edu/,"[""university"",""greenhouse"",""kentucky""]",universities,Floriculture and greenhouse vegetable research; nutrient management and grower extension across Kentucky.,"{""city"":""Lexington"",""state"":""KY"",""country"":""USA"",""programName"":""Controlled-Environment Horticulture"",""urls"":{""site"":""https://greenhousehort.ca.uky.edu/"",""extension"":""https://horticulture.ca.uky.edu/growers""}}"
uni-texas-a-m-university-horticulture-cea-engineering,Texas A&M University – Horticulture & CEA Engineering,https://dallas.tamu.edu/controlled-environment-enginering/,"[""university"",""engineering"",""automation"",""texas""]",universities,"CEA engineering group develops automation, AI monitoring, and robotics; horticulture faculty research yield/quality.","{""city"":""Dallas"",""state"":""TX"",""country"":""USA"",""programName"":""CEA Engineering (Dallas) & Horticultural Sciences (College Station)"",""urls"":{""site"":""https://dallas.tamu.edu/controlled-environment-enginering/""}}"
uni-university-of-tennessee-controlled-environment-plant-physiology,University of Tennessee – Controlled Environment Plant Physiology,https://glase.org/webinars/new-cea-research-programs-in-the-u-s/,"[""university"",""plant-physiology"",""tennessee""]",universities,"Research on light, temperature, and CO₂ control to improve crop yield and quality in CE systems.","{""city"":""Knoxville"",""state"":""TN"",""country"":""USA"",""programName"":""Controlled Environment Plant Physiology"",""urls"":{""site"":""https://glase.org/webinars/new-cea-research-programs-in-the-u-s/""}}"
uni-university-of-delaware-dial-indoor-ag-lab,University of Delaware – DIAL (Indoor Ag Lab),https://glase.org/webinars/new-cea-research-programs-in-the-u-s/,"[""university"",""lighting"",""delaware""]",universities,LED lighting applications and environmental optimization for indoor/greenhouse crops.,"{""city"":""Newark"",""state"":""DE"",""country"":""USA"",""programName"":""Delaware Indoor Agriculture Lab (DIAL)"",""urls"":{""site"":""https://glase.org/webinars/new-cea-research-programs-in-the-u-s/""}}"
uni-arizona-state-university-indoor-farming-initiative,Arizona State University – Indoor Farming Initiative,https://glase.org/webinars/new-cea-research-programs-in-the-u-s/,"[""university"",""indoor-farming"",""arizona""]",universities,Research on crop physiology in vertical farming and greenhouses; testing luminescent greenhouse films.,"{""city"":""Mesa"",""state"":""AZ"",""country"":""USA"",""programName"":""Indoor Farming Initiative"",""urls"":{""site"":""https://glase.org/webinars/new-cea-research-programs-in-the-u-s/""}}"
uni-colorado-state-university-cea-horticulture-program,Colorado State University – CEA Horticulture Program,https://glase.org/webinars/new-cea-research-programs-in-the-u-s/,"[""university"",""co2"",""colorado""]",universities,Studies on CO₂ enrichment strategies and light/temperature interactions for vegetables and ornamentals.,"{""city"":""Fort Collins"",""state"":""CO"",""country"":""USA"",""programName"":""CEA Horticulture Program"",""urls"":{""site"":""https://glase.org/webinars/new-cea-research-programs-in-the-u-s/""}}"
